sampleName,fileName,Row,Rootstock,Irrigation,Phenology,Tissue,Block
A1Y1_001_L,A1Y1_001_L.counts,8,1103P,none,anthesis,Leaf,A
A1Y1_001_R,A1Y1_001_R.counts,8,1103P,none,anthesis,Reproductive,A
A1Y1_002_L,A1Y1_002_L.counts,8,1103P,none,anthesis,Leaf,A
A1Y1_002_R,A1Y1_002_R.counts,8,1103P,none,anthesis,Reproductive,A
A1Y1_003_L,A1Y1_003_L.counts,8,3309C,none,anthesis,Leaf,A
A1Y1_003_R,A1Y1_003_R.counts,8,3309C,none,anthesis,Reproductive,A
A1Y1_004_L,A1Y1_004_L.counts,8,3309C,none,anthesis,Leaf,A
A1Y1_004_R,A1Y1_004_R.counts,8,3309C,none,anthesis,Reproductive,A
A1Y1_005_L,A1Y1_005_L.counts,8,SO4,none,anthesis,Leaf,A
A1Y1_005_R,A1Y1_005_R.counts,8,SO4,none,anthesis,Reproductive,A
A1Y1_006_L,A1Y1_006_L.counts,8,SO4,none,anthesis,Leaf,A
A1Y1_006_R,A1Y1_006_R.counts,8,SO4,none,anthesis,Reproductive,A
A1Y1_007_L,A1Y1_007_L.counts,8,Own,none,anthesis,Leaf,A
A1Y1_007_R,A1Y1_007_R.counts,8,Own,none,anthesis,Reproductive,A
A1Y1_008_L,A1Y1_008_L.counts,8,Own,none,anthesis,Leaf,A
A1Y1_008_R,A1Y1_008_R.counts,8,Own,none,anthesis,Reproductive,A
A1Y1_009_L,A1Y1_009_L.counts,9,Own,RDI,anthesis,Leaf,A
A1Y1_009_R,A1Y1_009_R.counts,9,Own,RDI,anthesis,Reproductive,A
A1Y1_010_L,A1Y1_010_L.counts,9,Own,RDI,anthesis,Leaf,A
A1Y1_010_R,A1Y1_010_R.counts,9,Own,RDI,anthesis,Reproductive,A
A1Y1_011_L,A1Y1_011_L.counts,9,1103P,RDI,anthesis,Leaf,A
A1Y1_011_R,A1Y1_011_R.counts,9,1103P,RDI,anthesis,Reproductive,A
A1Y1_012_L,A1Y1_012_L.counts,9,1103P,RDI,anthesis,Leaf,A
A1Y1_012_R,A1Y1_012_R.counts,9,1103P,RDI,anthesis,Reproductive,A
A1Y1_013_L,A1Y1_013_L.counts,9,3309C,RDI,anthesis,Leaf,A
A1Y1_013_R,A1Y1_013_R.counts,9,3309C,RDI,anthesis,Reproductive,A
A1Y1_014_L,A1Y1_014_L.counts,9,3309C,RDI,anthesis,Leaf,A
A1Y1_014_R,A1Y1_014_R.counts,9,3309C,RDI,anthesis,Reproductive,A
A1Y1_015_L,A1Y1_015_L.counts,9,SO4,RDI,anthesis,Leaf,A
A1Y1_015_R,A1Y1_015_R.counts,9,SO4,RDI,anthesis,Reproductive,A
A1Y1_016_L,A1Y1_016_L.counts,9,SO4,RDI,anthesis,Leaf,A
A1Y1_016_R,A1Y1_016_R.counts,9,SO4,RDI,anthesis,Reproductive,A
A1Y1_017_L,A1Y1_017_L.counts,10,3309C,full,anthesis,Leaf,A
A1Y1_017_R,A1Y1_017_R.counts,10,3309C,full,anthesis,Reproductive,A
A1Y1_018_L,A1Y1_018_L.counts,10,3309C,full,anthesis,Leaf,A
A1Y1_018_R,A1Y1_018_R.counts,10,3309C,full,anthesis,Reproductive,A
A1Y1_019_L,A1Y1_019_L.counts,10,SO4,full,anthesis,Leaf,A
A1Y1_019_R,A1Y1_019_R.counts,10,SO4,full,anthesis,Reproductive,A
A1Y1_020_L,A1Y1_020_L.counts,10,SO4,full,anthesis,Leaf,A
A1Y1_020_R,A1Y1_020_R.counts,10,SO4,full,anthesis,Reproductive,A
A1Y1_021_L,A1Y1_021_L.counts,10,Own,full,anthesis,Leaf,A
A1Y1_021_R,A1Y1_021_R.counts,10,Own,full,anthesis,Reproductive,A
A1Y1_022_L,A1Y1_022_L.counts,10,Own,full,anthesis,Leaf,A
A1Y1_022_R,A1Y1_022_R.counts,10,Own,full,anthesis,Reproductive,A
A1Y1_023_L,A1Y1_023_L.counts,10,1103P,full,anthesis,Leaf,A
A1Y1_023_R,A1Y1_023_R.counts,10,1103P,full,anthesis,Reproductive,A
A1Y1_024_L,A1Y1_024_L.counts,10,1103P,full,anthesis,Leaf,A
A1Y1_024_R,A1Y1_024_R.counts,10,1103P,full,anthesis,Reproductive,A
A1Y1_025_L,A1Y1_025_L.counts,11,3309C,RDI,anthesis,Leaf,B
A1Y1_025_R,A1Y1_025_R.counts,11,3309C,RDI,anthesis,Reproductive,B
A1Y1_026_L,A1Y1_026_L.counts,11,3309C,RDI,anthesis,Leaf,B
A1Y1_026_R,A1Y1_026_R.counts,11,3309C,RDI,anthesis,Reproductive,B
A1Y1_027_L,A1Y1_027_L.counts,11,1103P,RDI,anthesis,Leaf,B
A1Y1_027_R,A1Y1_027_R.counts,11,1103P,RDI,anthesis,Reproductive,B
A1Y1_028_L,A1Y1_028_L.counts,11,1103P,RDI,anthesis,Leaf,B
A1Y1_028_R,A1Y1_028_R.counts,11,1103P,RDI,anthesis,Reproductive,B
A1Y1_029_L,A1Y1_029_L.counts,11,Own,RDI,anthesis,Leaf,B
A1Y1_029_R,A1Y1_029_R.counts,11,Own,RDI,anthesis,Reproductive,B
A1Y1_030_L,A1Y1_030_L.counts,11,Own,RDI,anthesis,Leaf,B
A1Y1_030_R,A1Y1_030_R.counts,11,Own,RDI,anthesis,Reproductive,B
A1Y1_031_L,A1Y1_031_L.counts,11,SO4,RDI,anthesis,Leaf,B
A1Y1_031_R,A1Y1_031_R.counts,11,SO4,RDI,anthesis,Reproductive,B
A1Y1_032_L,A1Y1_032_L.counts,11,SO4,RDI,anthesis,Leaf,B
A1Y1_032_R,A1Y1_032_R.counts,11,SO4,RDI,anthesis,Reproductive,B
A1Y1_033_L,A1Y1_033_L.counts,12,1103P,full,anthesis,Leaf,B
A1Y1_033_R,A1Y1_033_R.counts,12,1103P,full,anthesis,Reproductive,B
A1Y1_034_L,A1Y1_034_L.counts,12,1103P,full,anthesis,Leaf,B
A1Y1_034_R,A1Y1_034_R.counts,12,1103P,full,anthesis,Reproductive,B
A1Y1_035_L,A1Y1_035_L.counts,12,Own,full,anthesis,Leaf,B
A1Y1_035_R,A1Y1_035_R.counts,12,Own,full,anthesis,Reproductive,B
A1Y1_036_L,A1Y1_036_L.counts,12,Own,full,anthesis,Leaf,B
A1Y1_036_R,A1Y1_036_R.counts,12,Own,full,anthesis,Reproductive,B
A1Y1_037_L,A1Y1_037_L.counts,12,SO4,full,anthesis,Leaf,B
A1Y1_037_R,A1Y1_037_R.counts,12,SO4,full,anthesis,Reproductive,B
A1Y1_038_L,A1Y1_038_L.counts,12,SO4,full,anthesis,Leaf,B
A1Y1_038_R,A1Y1_038_R.counts,12,SO4,full,anthesis,Reproductive,B
A1Y1_039_L,A1Y1_039_L.counts,12,3309C,full,anthesis,Leaf,B
A1Y1_039_R,A1Y1_039_R.counts,12,3309C,full,anthesis,Reproductive,B
A1Y1_040_L,A1Y1_040_L.counts,12,3309C,full,anthesis,Leaf,B
A1Y1_040_R,A1Y1_040_R.counts,12,3309C,full,anthesis,Reproductive,B
A1Y1_041_L,A1Y1_041_L.counts,13,SO4,none,anthesis,Leaf,B
A1Y1_041_R,A1Y1_041_R.counts,13,SO4,none,anthesis,Reproductive,B
A1Y1_042_L,A1Y1_042_L.counts,13,SO4,none,anthesis,Leaf,B
A1Y1_042_R,A1Y1_042_R.counts,13,SO4,none,anthesis,Reproductive,B
A1Y1_043_L,A1Y1_043_L.counts,13,3309C,none,anthesis,Leaf,B
A1Y1_043_R,A1Y1_043_R.counts,13,3309C,none,anthesis,Reproductive,B
A1Y1_044_L,A1Y1_044_L.counts,13,3309C,none,anthesis,Leaf,B
A1Y1_044_R,A1Y1_044_R.counts,13,3309C,none,anthesis,Reproductive,B
A1Y1_045_L,A1Y1_045_L.counts,13,1103P,none,anthesis,Leaf,B
A1Y1_045_R,A1Y1_045_R.counts,13,1103P,none,anthesis,Reproductive,B
A1Y1_046_L,A1Y1_046_L.counts,13,1103P,none,anthesis,Leaf,B
A1Y1_046_R,A1Y1_046_R.counts,13,1103P,none,anthesis,Reproductive,B
A1Y1_047_L,A1Y1_047_L.counts,13,Own,none,anthesis,Leaf,B
A1Y1_047_R,A1Y1_047_R.counts,13,Own,none,anthesis,Reproductive,B
A1Y1_048_L,A1Y1_048_L.counts,13,Own,none,anthesis,Leaf,B
A1Y1_048_R,A1Y1_048_R.counts,13,Own,none,anthesis,Reproductive,B
A1Y1_049_L,A1Y1_049_L.counts,14,3309C,RDI,anthesis,Leaf,C
A1Y1_049_R,A1Y1_049_R.counts,14,3309C,RDI,anthesis,Reproductive,C
A1Y1_050_L,A1Y1_050_L.counts,14,3309C,RDI,anthesis,Leaf,C
A1Y1_050_R,A1Y1_050_R.counts,14,3309C,RDI,anthesis,Reproductive,C
A1Y1_051_L,A1Y1_051_L.counts,14,SO4,RDI,anthesis,Leaf,C
A1Y1_051_R,A1Y1_051_R.counts,14,SO4,RDI,anthesis,Reproductive,C
A1Y1_052_L,A1Y1_052_L.counts,14,SO4,RDI,anthesis,Leaf,C
A1Y1_052_R,A1Y1_052_R.counts,14,SO4,RDI,anthesis,Reproductive,C
A1Y1_053_L,A1Y1_053_L.counts,14,Own,RDI,anthesis,Leaf,C
A1Y1_053_R,A1Y1_053_R.counts,14,Own,RDI,anthesis,Reproductive,C
A1Y1_054_L,A1Y1_054_L.counts,14,Own,RDI,anthesis,Leaf,C
A1Y1_054_R,A1Y1_054_R.counts,14,Own,RDI,anthesis,Reproductive,C
A1Y1_055_L,A1Y1_055_L.counts,14,1103P,RDI,anthesis,Leaf,C
A1Y1_055_R,A1Y1_055_R.counts,14,1103P,RDI,anthesis,Reproductive,C
A1Y1_056_L,A1Y1_056_L.counts,14,1103P,RDI,anthesis,Leaf,C
A1Y1_056_R,A1Y1_056_R.counts,14,1103P,RDI,anthesis,Reproductive,C
A1Y1_057_L,A1Y1_057_L.counts,15,Own,none,anthesis,Leaf,C
A1Y1_057_R,A1Y1_057_R.counts,15,Own,none,anthesis,Reproductive,C
A1Y1_058_L,A1Y1_058_L.counts,15,Own,none,anthesis,Leaf,C
A1Y1_058_R,A1Y1_058_R.counts,15,Own,none,anthesis,Reproductive,C
A1Y1_059_L,A1Y1_059_L.counts,15,3309C,none,anthesis,Leaf,C
A1Y1_059_R,A1Y1_059_R.counts,15,3309C,none,anthesis,Reproductive,C
A1Y1_060_L,A1Y1_060_L.counts,15,3309C,none,anthesis,Leaf,C
A1Y1_060_R,A1Y1_060_R.counts,15,3309C,none,anthesis,Reproductive,C
A1Y1_061_L,A1Y1_061_L.counts,15,1103P,none,anthesis,Leaf,C
A1Y1_061_R,A1Y1_061_R.counts,15,1103P,none,anthesis,Reproductive,C
A1Y1_062_L,A1Y1_062_L.counts,15,1103P,none,anthesis,Leaf,C
A1Y1_062_R,A1Y1_062_R.counts,15,1103P,none,anthesis,Reproductive,C
A1Y1_063_L,A1Y1_063_L.counts,15,SO4,none,anthesis,Leaf,C
A1Y1_063_R,A1Y1_063_R.counts,15,SO4,none,anthesis,Reproductive,C
A1Y1_064_L,A1Y1_064_L.counts,15,SO4,none,anthesis,Leaf,C
A1Y1_064_R,A1Y1_064_R.counts,15,SO4,none,anthesis,Reproductive,C
A1Y1_065_L,A1Y1_065_L.counts,16,1103P,full,anthesis,Leaf,C
A1Y1_065_R,A1Y1_065_R.counts,16,1103P,full,anthesis,Reproductive,C
A1Y1_066_L,A1Y1_066_L.counts,16,1103P,full,anthesis,Leaf,C
A1Y1_066_R,A1Y1_066_R.counts,16,1103P,full,anthesis,Reproductive,C
A1Y1_067_L,A1Y1_067_L.counts,16,Own,full,anthesis,Leaf,C
A1Y1_067_R,A1Y1_067_R.counts,16,Own,full,anthesis,Reproductive,C
A1Y1_068_L,A1Y1_068_L.counts,16,Own,full,anthesis,Leaf,C
A1Y1_068_R,A1Y1_068_R.counts,16,Own,full,anthesis,Reproductive,C
A1Y1_069_L,A1Y1_069_L.counts,16,SO4,full,anthesis,Leaf,C
A1Y1_069_R,A1Y1_069_R.counts,16,SO4,full,anthesis,Reproductive,C
A1Y1_070_L,A1Y1_070_L.counts,16,SO4,full,anthesis,Leaf,C
A1Y1_070_R,A1Y1_070_R.counts,16,SO4,full,anthesis,Reproductive,C
A1Y1_071_L,A1Y1_071_L.counts,16,3309C,full,anthesis,Leaf,C
A1Y1_071_R,A1Y1_071_R.counts,16,3309C,full,anthesis,Reproductive,C
A1Y1_072_L,A1Y1_072_L.counts,16,3309C,full,anthesis,Leaf,C
A1Y1_072_R,A1Y1_072_R.counts,16,3309C,full,anthesis,Reproductive,C
A1Y1_073_L,A1Y1_073_L.counts,8,1103P,none,veraison,Leaf,A
A1Y1_073_R,A1Y1_073_R.counts,8,1103P,none,veraison,Reproductive,A
A1Y1_074_L,A1Y1_074_L.counts,8,1103P,none,veraison,Leaf,A
A1Y1_074_R,A1Y1_074_R.counts,8,1103P,none,veraison,Reproductive,A
A1Y1_075_L,A1Y1_075_L.counts,8,3309C,none,veraison,Leaf,A
A1Y1_075_R,A1Y1_075_R.counts,8,3309C,none,veraison,Reproductive,A
A1Y1_076_L,A1Y1_076_L.counts,8,3309C,none,veraison,Leaf,A
A1Y1_076_R,A1Y1_076_R.counts,8,3309C,none,veraison,Reproductive,A
A1Y1_077_L,A1Y1_077_L.counts,8,SO4,none,veraison,Leaf,A
A1Y1_077_R,A1Y1_077_R.counts,8,SO4,none,veraison,Reproductive,A
A1Y1_078_L,A1Y1_078_L.counts,8,SO4,none,veraison,Leaf,A
A1Y1_078_R,A1Y1_078_R.counts,8,SO4,none,veraison,Reproductive,A
A1Y1_079_L,A1Y1_079_L.counts,8,Own,none,veraison,Leaf,A
A1Y1_079_R,A1Y1_079_R.counts,8,Own,none,veraison,Reproductive,A
A1Y1_080_L,A1Y1_080_L.counts,8,Own,none,veraison,Leaf,A
A1Y1_080_R,A1Y1_080_R.counts,8,Own,none,veraison,Reproductive,A
A1Y1_081_L,A1Y1_081_L.counts,9,Own,RDI,veraison,Leaf,A
A1Y1_081_R,A1Y1_081_R.counts,9,Own,RDI,veraison,Reproductive,A
A1Y1_082_L,A1Y1_082_L.counts,9,Own,RDI,veraison,Leaf,A
A1Y1_082_R,A1Y1_082_R.counts,9,Own,RDI,veraison,Reproductive,A
A1Y1_083_L,A1Y1_083_L.counts,9,1103P,RDI,veraison,Leaf,A
A1Y1_083_R,A1Y1_083_R.counts,9,1103P,RDI,veraison,Reproductive,A
A1Y1_084_L,A1Y1_084_L.counts,9,1103P,RDI,veraison,Leaf,A
A1Y1_084_R,A1Y1_084_R.counts,9,1103P,RDI,veraison,Reproductive,A
A1Y1_085_L,A1Y1_085_L.counts,9,3309C,RDI,veraison,Leaf,A
A1Y1_085_R,A1Y1_085_R.counts,9,3309C,RDI,veraison,Reproductive,A
A1Y1_086_L,A1Y1_086_L.counts,9,3309C,RDI,veraison,Leaf,A
A1Y1_086_R,A1Y1_086_R.counts,9,3309C,RDI,veraison,Reproductive,A
A1Y1_087_L,A1Y1_087_L.counts,9,SO4,RDI,veraison,Leaf,A
A1Y1_087_R,A1Y1_087_R.counts,9,SO4,RDI,veraison,Reproductive,A
A1Y1_088_L,A1Y1_088_L.counts,9,SO4,RDI,veraison,Leaf,A
A1Y1_088_R,A1Y1_088_R.counts,9,SO4,RDI,veraison,Reproductive,A
A1Y1_089_L,A1Y1_089_L.counts,10,3309C,full,veraison,Leaf,A
A1Y1_089_R,A1Y1_089_R.counts,10,3309C,full,veraison,Reproductive,A
A1Y1_090_L,A1Y1_090_L.counts,10,3309C,full,veraison,Leaf,A
A1Y1_090_R,A1Y1_090_R.counts,10,3309C,full,veraison,Reproductive,A
A1Y1_091_L,A1Y1_091_L.counts,10,SO4,full,veraison,Leaf,A
A1Y1_091_R,A1Y1_091_R.counts,10,SO4,full,veraison,Reproductive,A
A1Y1_092_L,A1Y1_092_L.counts,10,SO4,full,veraison,Leaf,A
A1Y1_092_R,A1Y1_092_R.counts,10,SO4,full,veraison,Reproductive,A
A1Y1_093_L,A1Y1_093_L.counts,10,Own,full,veraison,Leaf,A
A1Y1_093_R,A1Y1_093_R.counts,10,Own,full,veraison,Reproductive,A
A1Y1_094_L,A1Y1_094_L.counts,10,Own,full,veraison,Leaf,A
A1Y1_094_R,A1Y1_094_R.counts,10,Own,full,veraison,Reproductive,A
A1Y1_095_L,A1Y1_095_L.counts,10,1103P,full,veraison,Leaf,A
A1Y1_095_R,A1Y1_095_R.counts,10,1103P,full,veraison,Reproductive,A
A1Y1_096_L,A1Y1_096_L.counts,10,1103P,full,veraison,Leaf,A
A1Y1_096_R,A1Y1_096_R.counts,10,1103P,full,veraison,Reproductive,A
A1Y1_097_L,A1Y1_097_L.counts,11,3309C,RDI,veraison,Leaf,B
A1Y1_097_R,A1Y1_097_R.counts,11,3309C,RDI,veraison,Reproductive,B
A1Y1_098_L,A1Y1_098_L.counts,11,3309C,RDI,veraison,Leaf,B
A1Y1_098_R,A1Y1_098_R.counts,11,3309C,RDI,veraison,Reproductive,B
A1Y1_099_L,A1Y1_099_L.counts,11,1103P,RDI,veraison,Leaf,B
A1Y1_099_R,A1Y1_099_R.counts,11,1103P,RDI,veraison,Reproductive,B
A1Y1_100_L,A1Y1_100_L.counts,11,1103P,RDI,veraison,Leaf,B
A1Y1_100_R,A1Y1_100_R.counts,11,1103P,RDI,veraison,Reproductive,B
A1Y1_101_L,A1Y1_101_L.counts,11,Own,RDI,veraison,Leaf,B
A1Y1_101_R,A1Y1_101_R.counts,11,Own,RDI,veraison,Reproductive,B
A1Y1_102_L,A1Y1_102_L.counts,11,Own,RDI,veraison,Leaf,B
A1Y1_102_R,A1Y1_102_R.counts,11,Own,RDI,veraison,Reproductive,B
A1Y1_103_L,A1Y1_103_L.counts,11,SO4,RDI,veraison,Leaf,B
A1Y1_103_R,A1Y1_103_R.counts,11,SO4,RDI,veraison,Reproductive,B
A1Y1_104_L,A1Y1_104_L.counts,11,SO4,RDI,veraison,Leaf,B
A1Y1_104_R,A1Y1_104_R.counts,11,SO4,RDI,veraison,Reproductive,B
A1Y1_105_L,A1Y1_105_L.counts,12,1103P,full,veraison,Leaf,B
A1Y1_105_R,A1Y1_105_R.counts,12,1103P,full,veraison,Reproductive,B
A1Y1_106_L,A1Y1_106_L.counts,12,1103P,full,veraison,Leaf,B
A1Y1_106_R,A1Y1_106_R.counts,12,1103P,full,veraison,Reproductive,B
A1Y1_107_L,A1Y1_107_L.counts,12,Own,full,veraison,Leaf,B
A1Y1_107_R,A1Y1_107_R.counts,12,Own,full,veraison,Reproductive,B
